u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel,flood_level_u,flood_level_v,flood_level
485580824,8642774010,0,931321078,tertiary,ถนนพลพิชัย,False,False,48.86344657488779,,,,,,,,1,1,1
485580824,4900465156,0,931321078,tertiary,ถนนพลพิชัย,False,True,52.419118131835496,,,,,,,,1,2,2
485580824,12008685153,0,"[323956433, 323956437]",secondary,,False,False,269.44419703627784,yes,,,,,,,1,1,1
485580824,13368519214,0,323958075,secondary,ถนนศรีภูวนารถ,False,True,94.9903206033894,,,,,,,,1,1,1
485580829,3307271116,0,1173586178,tertiary,ถนนนิพัทธ์อุทิศ 2,True,False,7.747835630145036,,3,,,,,,4,4,4
485580829,985092779,0,1173586180,secondary,ถนนศรีภูวนารถ,True,False,107.9769105010268,,,,,,,,4,4,4
485580840,620881529,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,74.31830434244294,,2,,,,,,5,3,5
485580841,4900465380,0,40264698,residential,,False,True,66.57213093237833,,,,,,,,5,5,5
485580841,4900465504,0,706093503,residential,,True,False,42.90338565124223,,,,,,,,5,2,5
485580842,1559029797,0,84842974,residential,ถนนนิพัทธ์อุทิศ 3,True,False,96.60963189260973,,3,,,,,,2,5,5
485580842,617233014,0,706093508,residential,ถนนประชาธิปัตย์,True,False,65.56766548439072,,,,,,,,2,2,2
485580845,1612097195,0,706096636,tertiary,ถนนศุภสารรังสรรค์,False,False,69.39208877331964,,,,,,,,3,4,4
485580845,4085816302,0,706096642,tertiary,ถนนศุภสารรังสรรค์,True,False,68.13274781783795,,,,,,,,3,4,4
617233014,2506085784,0,40264696,tertiary,ถนนนิพัทธ์อุทิศ 2,True,False,130.24306119997948,,3,,,,,,2,2,2
617233014,620881567,0,706093508,residential,ถนนประชาธิปัตย์,True,False,79.54854027563788,,,,,,,,2,5,5
617234280,617233014,0,40264696,tertiary,ถนนนิพัทธ์อุทิศ 2,True,False,185.95538542269117,,3,,,,,,4,2,4
617234280,617234576,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,73.34310571102583,,2,,,,,,4,4,4
617234281,1107784884,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,139.45662129133734,,2,,,,,,2,5,5
617234281,1559029798,0,706097788,residential,ถนนเสน่หานุสรณ์,True,False,93.23343161816028,,,20.0,,,,,2,4,4
617234534,1680666529,0,"[155690331, 498671563]",residential,,False,True,177.3744802126813,,,,,,,,2,3,3
617234534,4900465653,0,706093507,residential,,True,False,109.40126148448742,,,,,,,,2,5,5
617234535,617234280,0,40264696,tertiary,ถนนนิพัทธ์อุทิศ 2,True,False,162.32019324306594,,3,,,,,,2,4,4
617234535,620881544,0,684704215,residential,Thanon Manasruedee,True,False,75.4743200211116,,,,,,,,2,2,2
617234576,617234281,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,84.42845028719734,,2,,,,,,4,2,4
617234576,1176926303,0,84842974,residential,ถนนนิพัทธ์อุทิศ 3,True,False,84.04229596068912,,3,,,,,,4,2,4
617234843,485580842,0,706093508,residential,ถนนประชาธิปัตย์,True,False,84.5324332750978,,,,,,,,3,2,3
620881015,4900465129,0,243082644,residential,ถนนไทยอาคาร,True,False,27.22606932450923,,,,,,,,3,3,3
620881015,6636332746,0,323960908,secondary,ถนนศรีภูวนารถ,True,False,80.01029676082271,,,,,,,,3,1,3
620881097,8523329816,0,84842974,residential,ถนนนิพัทธ์อุทิศ 3,True,False,11.86874229950903,,3,,,,,,4,4,4
620881097,2506087028,0,243188120,residential,,True,False,61.59687337127461,,,,,,,,4,3,4
620881522,617234534,0,684704215,residential,Thanon Manasruedee,True,False,76.83472984859014,,,,,,,,5,2,5
620881522,4900465652,0,1334523574,residential,ถนนรัถการ,True,False,109.23541897273748,,,,,,,,5,3,5
620881529,12346123215,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,7.282627902454549,,2,,,,,,3,3,3
620881530,485580841,0,706095304,residential,ถนนประชาธิปัตย์,True,False,86.23495745652862,,,,,,,,5,5,5
620881530,4900465381,0,706096638,residential,ถนนรัถการ,False,False,69.49148153903104,,,,,,,,5,5,5
620881544,1559016915,0,684704215,residential,Thanon Manasruedee,True,False,99.04315967615518,,,,,,,,2,5,5
620881544,3125684629,0,1315837498,tertiary,ถนนนิพัทธ์อุทิศ 1,True,False,35.15544973810013,,3,,,,,,2,2,2
620881566,617234280,0,40264697,tertiary,ถนนธรรมนูญวิถี,True,False,68.93938346579667,,2,,,,,,4,4,4
620881566,620881544,0,1315837498,tertiary,ถนนนิพัทธ์อุทิศ 1,True,False,162.7922042213236,,3,,,,,,4,2,4
620881567,6634630597,0,1315837498,tertiary,ถนนนิพัทธ์อุทิศ 1,True,False,82.3172216139445,,3,,,,,,5,5,5
620881567,620881530,0,706095304,residential,ถนนประชาธิปัตย์,True,False,95.87658395674369,,,,,,,,5,5,5
620881568,1612097191,0,48923856,tertiary,ถนนนิพัทธ์อุทิศ 1,True,False,13.558358310059784,,3,,,,,,4,4,4
620881568,1612097195,0,1315837497,tertiary,ถนนศุภสารรังสรรค์,False,True,17.920533924039304,,,,,,,,4,4,4
620881568,2506087114,0,77967084,secondary,ถนนเพชรเกษม,True,False,175.11559284187777,,,,,,,,4,3,4
796719799,1173916582,0,110691148,residential,,False,False,15.36548307758767,,,,,,,,3,3,3
796719799,1680665406,0,155691024,residential,ถนนศรีภูวนารถ ซอย 14,False,True,67.2336956441837,,,,,,,,3,3,3
796719799,809537420,0,959974136,secondary,ถนนศรีภูวนารถ,True,False,70.1742301192642,,,,,,,,3,3,3
796719833,2505175795,0,142455597,residential,,True,False,8.664956956741193,,,,,,,,4,4,4
796719833,3307305334,0,"[685344728, 1173627705, 1173627704]",secondary,ถนนศรีภูวนารถ,True,False,91.95348886159672,,,,,,,,4,3,4
796719858,4900465125,0,243082641,unclassified,Thanon Simbenjapolpatana,False,False,41.571418463848566,,,,,,,,4,4,4
796719858,1558729721,0,"[65075561, 65075564, 142455591]",unclassified,,False,True,33.278861631982025,yes,,,,,,,4,5,5
796719858,1559016846,0,243082642,unclassified,Thanon Simbenjapolpatana,False,False,102.1519001486942,,,,,,,,4,1,4
796719881,986090190,0,104353653,primary,ถนนกาญจนวณิชย์,True,False,55.863909082966984,,3,,,,,,4,4,4
796719881,1107926973,0,127078355,tertiary,ถนนบ้านทุ่งรี,False,True,99.7642527796128,,,,,,,,4,4,4
796719909,6420376579,0,685185524,primary_link,ถนนปุณณกัณฑ์,True,False,15.359833039207896,,2,,,,,,1,1,1
