osmid,y,x,highway,street_count,junction,longitude,latitude,gridcode,flood_distance_deg,flood_level
485580824,6.996412,100.4631218,traffic_signals,4,,100.4631218,6.996412,3,0.0021870679346316763,3
485580829,6.9978576,100.4711098,,3,,100.4711098,6.9978576,3,0.0011659909003621633,3
485580840,7.0039444,100.4678219,,3,,100.4678219,7.0039444,3,0.0007154405655713701,3
485580841,7.0056245,100.4675585,,3,,100.4675585,7.0056245,3,0.0008024820245880863,3
485580842,7.0059709,100.4705028,,4,,100.4705028,7.0059709,2,0.0021149225272899977,2
485580845,7.0075612,100.469684,,3,,100.469684,7.0075612,3,0.0021931314859356303,3
617233014,7.0059052,100.4699124,,4,,100.4699124,7.0059052,3,0.0015807015708734628,3
617234280,7.0042411,100.4700794,,4,,100.4700794,7.0042411,2,0.001903858889875578,2
617234281,7.0043579,100.4715036,,4,,100.4715036,7.0043579,2,0.0019391273380582892,2
617234534,7.0025078,100.4680068,,3,,100.4680068,7.0025078,2,0.0008877660357218476,2
617234535,7.0027999,100.4703133,,4,,100.4703133,7.0027999,2,0.002050565796692478,2
617234576,7.0043138,100.4707399,,4,,100.4707399,7.0043138,2,0.0025024857058530536,2
617234843,7.0060498,100.4712646,,3,,100.4712646,7.0060498,2,0.001380846265139921,2
620881015,6.9980223,100.4738481,,3,,100.4738481,6.9980223,2,0.001264780802639123,2
620881097,7.0089826,100.4701012,,3,,100.4701012,7.0089826,2,0.0010651859413302878,2
620881522,7.0025895,100.4686981,,3,,100.4686981,7.0025895,2,0.0008284579024746358,2
620881529,7.0040355,100.468489,,3,,100.468489,7.0040355,2,0.0007192153438146789,2
620881530,7.0057152,100.4683345,,4,,100.4683345,7.0057152,3,0.00011813876406865046,3
620881544,7.0027234,100.4696338,traffic_signals,4,,100.4696338,7.0027234,2,0.0014363957263092482,2
620881566,7.004177,100.4694581,traffic_signals,4,,100.4694581,7.004177,2,0.0013937106068378205,2
620881567,7.0058148,100.4691974,,4,,100.4691974,7.0058148,3,0.0008642657302987164,3
620881568,7.0074992,100.468897,,5,,100.468897,7.0074992,3,0.001626260199519565,3
796719799,6.9981853,100.484502,,4,,100.484502,6.9981853,3,0.002669181042439536,3
796719833,6.9981824,100.4758359,,3,,100.4758359,6.9981824,3,0.0008443657218161433,3
796719858,6.9966343,100.4749629,,3,,100.4749629,6.9966343,3,0.0005401272824628533,3
796719881,6.9993728,100.4894042,,3,,100.4894042,6.9993728,3,0.004912016953708639,3
796719909,7.0013876,100.4907371,,4,,100.4907371,7.0013876,3,0.0036744122625745725,3
796719962,6.996611,100.475263,,3,,100.475263,6.996611,3,0.0007695772298376361,3
796720013,6.9988155,100.4889164,,7,,100.4889164,6.9988155,1,0.004844310171366674,1
796720075,6.9983879,100.4794397,,4,,100.4794397,6.9983879,4,0.00045350143540921425,4
796747456,6.9948771,100.4731298,,4,,100.4731298,6.9948771,2,0.00035738597115717475,2
796747467,6.9959748,100.474307,,3,,100.474307,6.9959748,3,0.000390012020984232,3
796747470,7.0243279,100.5000719,,4,,100.5000719,7.0243279,5,0.002980100642649356,5
796747481,7.0197302,100.497509,,3,,100.497509,7.0197302,5,0.0025608127137710227,5
796747504,6.9982394,100.4794629,,3,,100.4794629,6.9982394,3,0.0005452517397583882,3
796747561,7.0348847,100.5021609,,3,,100.5021609,7.0348847,1,0.004228108597976079,1
796747593,7.0186323,100.4827199,,3,,100.4827199,7.0186323,2,0.0006824084646130953,2
796747634,7.0065342,100.4807754,,3,,100.4807754,7.0065342,3,0.0007866339729643718,3
796747657,7.0335293,100.5020819,,3,,100.5020819,7.0335293,1,0.0030866227433646062,1
796747667,7.0302822,100.5021551,,4,,100.5021551,7.0302822,1,0.002362638714245595,1
796747673,6.9949299,100.4753132,,4,,100.4753132,6.9949299,1,0.0008249970172842245,1
796747687,6.9956609,100.4743975,,3,,100.4743975,6.9956609,3,0.0006177404636374899,3
796747689,7.0199785,100.4979777,,3,,100.4979777,7.0199785,5,0.002729141879737473,5
796747695,6.9941766,100.4731619,,3,,100.4731619,6.9941766,2,0.00044138532687359425,2
796747697,6.9987495,100.4887355,,3,,100.4887355,6.9987495,1,0.004739601477091547,1
796747698,6.9958718,100.4748039,,3,,100.4748039,6.9958718,3,0.00043784064700074714,3
796747714,7.0042416,100.4803944,,3,,100.4803944,7.0042416,4,0.0004014556984906146,4
796747745,7.0185967,100.4823756,,3,,100.4823756,7.0185967,2,0.0009932847909795213,2
