osmid,y,x,highway,street_count,junction,longitude,latitude,capacity,is_shelter,shelter_names,shelter_min_dist_deg,pop_male,pop_female,pop_total,households,flood_level_s0,flood_distance_s0_deg,flood_level_s1,flood_distance_s1_deg
485580824,6.996412,100.4631218,traffic_signals,4,,100.4631218,6.996412,3260.0195764247337,False,,,20,21,41,21,1,0.0002613884641931128,3,0.0021870679346316763
485580829,6.9978576,100.4711098,,3,,100.4711098,6.9978576,539.5076045173049,False,,,13,22,35,18,4,0.0006956458234099276,3,0.0011659909003621633
485580840,7.0039444,100.4678219,,3,,100.4678219,7.0039444,1072.1244252424601,False,,,13,23,36,23,5,0.00021626869289493014,3,0.0007154405655713701
485580841,7.0056245,100.4675585,,3,,100.4675585,7.0056245,917.9891174038463,False,,,20,29,49,28,5,0.0007207863451176503,3,0.0008024820245880863
485580842,7.0059709,100.4705028,,4,,100.4705028,7.0059709,2932.1437817424267,False,,,24,23,47,30,2,0.0017748818643429358,2,0.0021149225272899977
485580845,7.0075612,100.469684,,3,,100.469684,7.0075612,1308.2923125256718,False,,,21,20,41,28,3,0.0011930542704965388,3,0.0021931314859356303
617233014,7.0059052,100.4699124,,4,,100.4699124,7.0059052,3827.990409698142,False,,,26,21,47,27,2,0.0012124608632809258,3,0.0015807015708734628
617234280,7.0042411,100.4700794,,4,,100.4700794,7.0042411,4652.871000228208,False,,,19,28,47,15,4,0.001372744940794684,2,0.001903858889875578
617234281,7.0043579,100.4715036,,4,,100.4715036,7.0043579,2180.4354870830434,False,,,20,22,42,28,2,0.0020183931589865156,2,0.0019391273380582892
617234534,7.0025078,100.4680068,,3,,100.4680068,7.0025078,1893.4473311545407,False,,,20,12,32,21,2,0.00043393122953380253,2,0.0008877660357218476
617234535,7.0027999,100.4703133,,4,,100.4703133,7.0027999,2609.7787353123285,False,,,22,23,45,29,2,0.0010228978866825456,2,0.002050565796692478
617234576,7.0043138,100.4707399,,4,,100.4707399,7.0043138,2926.6368067070307,False,,,8,23,31,28,4,0.0020080715561336384,2,0.0025024857058530536
617234843,7.0060498,100.4712646,,3,,100.4712646,7.0060498,647.1371185644246,False,,,16,26,42,18,3,0.0013185272797243482,2,0.001380846265139921
620881015,6.9980223,100.4738481,,3,,100.4738481,6.9980223,422.07226951525126,False,,,21,34,55,26,3,0.00014416014334150842,2,0.001264780802639123
620881097,7.0089826,100.4701012,,3,,100.4701012,7.0089826,675.737430067139,False,,,22,22,44,31,4,0.00039194632606653196,2,0.0010651859413302878
620881522,7.0025895,100.4686981,,3,,100.4686981,7.0025895,669.8104701968456,False,,,28,19,47,23,5,0.00033125727926900105,2,0.0008284579024746358
620881529,7.0040355,100.468489,,3,,100.468489,7.0040355,757.4267082403999,False,,,24,26,50,25,3,0.0003868220086147289,2,0.0007192153438146789
620881530,7.0057152,100.4683345,,4,,100.4683345,7.0057152,1270.796413902714,False,,,19,27,46,23,5,0.0005116271329431443,3,0.00011813876406865046
620881544,7.0027234,100.4696338,traffic_signals,4,,100.4696338,7.0027234,2689.261545514383,False,,,21,23,44,22,2,0.0006420534888782818,2,0.0014363957263092482
620881566,7.004177,100.4694581,traffic_signals,4,,100.4694581,7.004177,3969.2805281374012,False,,,22,20,42,18,4,0.0008164022225007754,2,0.0013937106068378205
620881567,7.0058148,100.4691974,,4,,100.4691974,7.0058148,2830.3757583567667,False,,,21,22,43,23,5,0.0005988968815848083,3,0.0008642657302987164
620881568,7.0074992,100.468897,,5,,100.468897,7.0074992,2894.3586719555024,False,,,25,35,60,26,4,0.0010648941073001523,3,0.001626260199519565
796719799,6.9981853,100.484502,,4,,100.484502,6.9981853,1435.6133337052784,False,,,24,21,45,21,3,0.0013341048573442195,3,0.002669181042439536
796719833,6.9981824,100.4758359,,3,,100.4758359,6.9981824,527.1706401473102,False,,,32,23,55,26,4,0.000702600822343264,3,0.0008443657218161433
796719858,6.9966343,100.4749629,,3,,100.4749629,6.9966343,1239.0152617116737,False,,,19,29,48,21,4,0.001272326202167241,3,0.0005401272824628533
796719881,6.9993728,100.4894042,,3,,100.4894042,6.9993728,3105.423981831551,False,,,15,22,37,19,3,0.00068724247553485,3,0.004912016953708639
796719909,7.0013876,100.4907371,,4,,100.4907371,7.0013876,1672.3392041659263,False,,,14,40,54,26,1,0.001991858826918308,3,0.0036744122625745725
796719962,6.996611,100.475263,,3,,100.475263,6.996611,1334.8129462509446,False,,,21,22,43,18,1,0.0010941968766945108,3,0.0007695772298376361
796720013,6.9988155,100.4889164,,7,,100.4889164,6.9988155,953.6878560996156,False,,,20,27,47,25,4,0.0007856567869033958,1,0.004844310171366674
796720075,6.9983879,100.4794397,,4,,100.4794397,6.9983879,3224.191795359752,False,,,17,25,42,25,2,0.0004926373994020465,4,0.00045350143540921425
796747456,6.9948771,100.4731298,,4,,100.4731298,6.9948771,1752.284885488294,False,,,15,34,49,25,2,0.0008220580603812352,2,0.00035738597115717475
796747467,6.9959748,100.474307,,3,,100.474307,6.9959748,1407.9385818489377,False,,,21,20,41,20,4,0.0006212762894485147,3,0.000390012020984232
796747470,7.0243279,100.5000719,,4,,100.5000719,7.0243279,1292.5432676099263,False,,,21,29,50,18,3,0.0005513109204136888,4,0.009027292375005271
796747481,7.0197302,100.497509,,3,,100.497509,7.0197302,351.0058237514071,False,,,26,27,53,21,5,0.00045029136186267856,4,0.004018082610940553
796747504,6.9982394,100.4794629,,3,,100.4794629,6.9982394,1334.829660676287,False,,,26,23,49,24,2,0.0003444722442940294,3,0.0005452517397583882
796747561,7.0348847,100.5021609,,3,,100.5021609,7.0348847,545.935608802094,False,,,25,22,47,28,1,0.0019695616651004442,4,0.019134669519036335
796747593,7.0186323,100.4827199,,3,,100.4827199,7.0186323,1454.430609298603,False,,,14,23,37,24,3,0.0006473567463329339,2,0.0006824084646130953
796747634,7.0065342,100.4807754,,3,,100.4807754,7.0065342,1995.6142128944114,False,,,23,23,46,28,5,0.0006559244585404692,3,0.0007866339729643718
796747657,7.0335293,100.5020819,,3,,100.5020819,7.0335293,1192.3084484531541,False,,,18,30,48,21,1,0.0006126353426182825,4,0.017877063326494663
796747667,7.0302822,100.5021551,,4,,100.5021551,7.0302822,399.99111480130955,False,,,22,30,52,18,3,0.000702542230745195,4,0.015073145584569632
796747673,6.9949299,100.4753132,,4,,100.4753132,6.9949299,2061.2253407404787,False,,,16,23,39,23,5,0.0004976411813661727,1,0.0008249970172842245
796747687,6.9956609,100.4743975,,3,,100.4743975,6.9956609,1384.7249084169657,False,,,22,21,43,34,2,0.0006920308992805902,3,0.0006177404636374899
796747689,7.0199785,100.4979777,,3,,100.4979777,7.0199785,1523.4197542222855,False,,,31,23,54,23,1,0.00044239670448246364,4,0.004546090794673922
796747695,6.9941766,100.4731619,,3,,100.4731619,6.9941766,917.8419225079699,False,,,14,23,37,29,1,0.0004920644222865232,2,0.00044138532687359425
796747697,6.9987495,100.4887355,,3,,100.4887355,6.9987495,898.4932856280473,False,,,28,33,61,36,1,0.0008188338191516594,1,0.004739601477091547
796747698,6.9958718,100.4748039,,3,,100.4748039,6.9958718,1476.1257724508948,False,,,23,22,45,24,5,0.0007633015352838823,3,0.00043784064700074714
796747714,7.0042416,100.4803944,,3,,100.4803944,7.0042416,3105.5861658963,False,,,18,21,39,21,5,0.0003424576366295916,4,0.0004014556984906146
796747745,7.0185967,100.4823756,,3,,100.4823756,7.0185967,185.24739776022616,False,,,26,27,53,19,3,0.00033003149407826257,2,0.0009932847909795213
