osmid,y,x,highway,street_count,junction,longitude,latitude,capacity,pop_male,pop_female,pop_total,households,is_shelter,shelter_names,shelter_min_dist_deg
485580824,6.996412,100.4631218,traffic_signals,4,,100.4631218,6.996412,3260.0195764247337,20,21,41,21,False,,
485580829,6.9978576,100.4711098,,3,,100.4711098,6.9978576,539.5076045173049,13,22,35,18,False,,
485580840,7.0039444,100.4678219,,3,,100.4678219,7.0039444,1072.1244252424601,13,23,36,23,False,,
485580841,7.0056245,100.4675585,,3,,100.4675585,7.0056245,917.9891174038463,20,29,49,28,False,,
485580842,7.0059709,100.4705028,,4,,100.4705028,7.0059709,2932.1437817424267,24,23,47,30,False,,
485580845,7.0075612,100.469684,,3,,100.469684,7.0075612,1308.2923125256718,21,20,41,28,False,,
617233014,7.0059052,100.4699124,,4,,100.4699124,7.0059052,3827.990409698142,26,21,47,27,False,,
617234280,7.0042411,100.4700794,,4,,100.4700794,7.0042411,4652.871000228208,19,28,47,15,False,,
617234281,7.0043579,100.4715036,,4,,100.4715036,7.0043579,2180.4354870830434,20,22,42,28,False,,
617234534,7.0025078,100.4680068,,3,,100.4680068,7.0025078,1893.4473311545407,20,12,32,21,False,,
617234535,7.0027999,100.4703133,,4,,100.4703133,7.0027999,2609.7787353123285,22,23,45,29,False,,
617234576,7.0043138,100.4707399,,4,,100.4707399,7.0043138,2926.6368067070307,8,23,31,28,False,,
617234843,7.0060498,100.4712646,,3,,100.4712646,7.0060498,647.1371185644246,16,26,42,18,False,,
620881015,6.9980223,100.4738481,,3,,100.4738481,6.9980223,422.07226951525126,21,34,55,26,False,,
620881097,7.0089826,100.4701012,,3,,100.4701012,7.0089826,675.737430067139,22,22,44,31,False,,
620881522,7.0025895,100.4686981,,3,,100.4686981,7.0025895,669.8104701968456,28,19,47,23,False,,
620881529,7.0040355,100.468489,,3,,100.468489,7.0040355,757.4267082403999,24,26,50,25,False,,
620881530,7.0057152,100.4683345,,4,,100.4683345,7.0057152,1270.796413902714,19,27,46,23,False,,
620881544,7.0027234,100.4696338,traffic_signals,4,,100.4696338,7.0027234,2689.261545514383,21,23,44,22,False,,
620881566,7.004177,100.4694581,traffic_signals,4,,100.4694581,7.004177,3969.2805281374012,22,20,42,18,False,,
620881567,7.0058148,100.4691974,,4,,100.4691974,7.0058148,2830.3757583567667,21,22,43,23,False,,
620881568,7.0074992,100.468897,,5,,100.468897,7.0074992,2894.3586719555024,25,35,60,26,False,,
796719799,6.9981853,100.484502,,4,,100.484502,6.9981853,1435.6133337052784,24,21,45,21,False,,
