x,y,z,Name,FID,Field_1,Id,gridcode
100.299999999667,8.01249999966666,0,"1","0","1","1","5"
100.281666666334,8.01166666633333,0,"2","1","2","2","5"
100.298333333,8.01166666633333,0,"3","2","3","3","1"
100.290833333,8.01083333299999,0,"4","3","4","4","1"
100.285416666334,8.00999999966666,0,"5","4","5","5","1"
100.297083333343,8.00958335916797,0,"6","5","6","6","1"
100.282916665991,8.00874997349868,0,"7","6","7","7","1"
100.289166666334,8.008333333,0,"8","7","8","8","5"
100.279999999667,8.00749999966666,0,"9","8","9","9","5"
100.284999999666,8.00749999966666,0,"10","9","10","10","1"
100.294583333,8.00749999966666,0,"11","10","11","11","5"
100.297499999666,8.00749999966666,0,"12","11","12","12","5"
100.272083333,8.00749999966666,0,"13","12","13","13","5"
100.279999999667,8.00666666633332,0,"14","13","14","14","1"
100.293333333,8.00666666633332,0,"15","14","15","15","5"
100.296666666333,8.00666666633332,0,"16","15","16","16","5"
100.305833333,8.00666666633332,0,"17","16","17","17","5"
100.311666666334,8.00666666633332,0,"18","17","18","18","4"
100.281666666676,8.00625002583464,0,"19","18","19","19","1"
100.297916666676,8.00625002583464,0,"20","19","20","20","1"
100.279999999667,8.00499999966666,0,"21","20","21","21","5"
100.299166666333,8.00541666633332,0,"22","21","22","22","5"
100.280833333,8.00416666633333,0,"23","22","23","23","5"
100.304999999667,8.00416666633333,0,"24","23","24","24","5"
100.310416665991,8.00541664016535,0,"25","24","25","25","5"
100.281666666334,8.003333333,0,"26","25","26","26","5"
100.289999999666,8.003333333,0,"27","26","27","27","5"
100.304166666334,8.003333333,0,"28","27","28","28","1"
100.312499999666,8.003333333,0,"29","28","29","29","5"
100.312083333,8.00416666633333,0,"30","29","30","30","1"
100.275833333,8.00249999966666,0,"31","30","31","31","5"
100.278749999667,8.00333283299999,0,"32","31","32","32","1"
100.285416666334,8.00291666633332,0,"33","32","33","33","5"
100.306249999667,8.003333333,0,"34","33","34","34","5"
100.308333333,8.00291666633332,0,"35","34","35","35","1"
100.307916666333,8.00166666633332,0,"36","35","36","36","5"
100.260833333,8.000833333,0,"37","36","37","37","5"
100.263333333,7.99999999966666,0,"38","37","38","38","5"
100.289999999666,8.00041616633333,0,"39","38","39","39","1"
100.259999999666,7.999583333,0,"40","39","40","40","1"
100.274166666333,7.99833333299999,0,"41","40","41","41","5"
100.263333333,7.99791616633332,0,"42","41","42","42","1"
100.264166666333,7.99749999966666,0,"43","42","43","43","5"
100.264999999667,7.99749999966666,0,"44","43","44","44","1"
100.259166666333,7.99666666633333,0,"45","44","45","45","1"
100.263333333,7.99666666633333,0,"46","45","46","46","5"
