u,v,key,osmid,highway,oneway,ref,reversed,length,name,lanes,maxspeed,bridge,junction,access,tunnel
485546733,620882137,0,103596536,secondary,True,4135,False,20.101836349590663,,,,,,,
485546733,1196108922,0,1075535366,secondary,True,4287,False,44.38786950903386,ถนนเพชรเกษม,,,,,,
485580819,2506085047,0,243188666,secondary_link,True,,False,82.77429545181833,,,,,,,
485580819,1196102301,0,1075535366,secondary,True,4287,False,57.80595421007882,ถนนเพชรเกษม,,,,,,
485580824,8642774010,0,931321078,tertiary,False,,False,45.04317745446481,ถนนพลพิชัย,,,,,,
485580824,4900465156,0,931321078,tertiary,False,,True,53.44721614383961,ถนนพลพิชัย,,,,,,
485580824,1680665041,0,323958075,secondary,False,,True,141.99527845336578,ถนนศรีภูวนารถ,,,,,,
485580829,3307271116,0,1173586178,tertiary,True,,False,7.747835630145036,ถนนนิพัทธ์อุทิศ 2,3,,,,,
485580829,985092779,0,1173586180,secondary,True,,False,107.73710017050148,ถนนศรีภูวนารถ,,,,,,
485580840,12346123215,0,40264697,tertiary,True,,False,75.93397697618884,ถนนธรรมนูญวิถี,2,,,,,
485580841,4900465380,0,40264698,residential,False,,True,67.01674641889204,,,,,,,
485580841,4900465504,0,706093503,residential,True,,False,40.78096102177904,,,,,,,
485580842,1559029797,0,84842974,tertiary,True,,False,96.60963189260971,ถนนนิพัทธ์อุทิศ 3,3,,,,,
485580842,617233014,0,706093508,tertiary,True,,False,65.56766548439072,ถนนประชาธิปัตย์,,,,,,
485580845,1612097195,0,706096636,tertiary,False,,False,69.39208877331964,ถนนศุภสารรังสรรค์,,,,,,
485580845,4085816302,0,706096642,tertiary,True,,False,68.13274781783795,ถนนศุภสารรังสรรค์,,,,,,
617233014,2506085784,0,40264696,tertiary,True,,False,130.24306119997948,ถนนนิพัทธ์อุทิศ 2,3,,,,,
617233014,620881567,0,706093508,tertiary,True,,False,79.54854027563788,ถนนประชาธิปัตย์,,,,,,
617234280,617233014,0,40264696,tertiary,True,,False,185.95538542269117,ถนนนิพัทธ์อุทิศ 2,3,,,,,
617234280,617234576,0,40264697,tertiary,True,,False,73.34310571102583,ถนนธรรมนูญวิถี,2,,,,,
617234281,1107784884,0,40264697,tertiary,True,,False,139.45662129133734,ถนนธรรมนูญวิถี,2,,,,,
617234281,1559029798,0,706097788,residential,True,,False,93.23343161816027,ถนนเสน่หานุสรณ์,,20,,,,
617234534,1680666529,0,"[155690331, 498671563]",residential,False,,True,175.85914694019363,,,,,,,
617234534,485580840,0,706093507,residential,True,,False,163.95563663125583,,,,,,,
617234535,617234280,0,40264696,tertiary,True,,False,161.82293355614254,ถนนนิพัทธ์อุทิศ 2,3,,,,,
617234535,620881544,0,684704215,residential,True,,False,76.7913453610008,Thanon Manasruedee,,,,,,
617234576,617234281,0,40264697,tertiary,True,,False,84.42845028719734,ถนนธรรมนูญวิถี,2,,,,,
617234576,1176926303,0,84842974,tertiary,True,,False,84.04229596068912,ถนนนิพัทธ์อุทิศ 3,3,,,,,
617234843,485580842,0,706093508,tertiary,True,,False,84.5324332750978,ถนนประชาธิปัตย์,,,,,,
620881015,4900465129,0,243082644,residential,True,,False,27.22606932450923,ถนนไทยอาคาร,,,,,,
620881015,6636332746,0,323960908,secondary,True,,False,80.01029676082271,ถนนศรีภูวนารถ,,,,,,
620881097,8523329816,0,84842974,tertiary,True,,False,11.86874229950903,ถนนนิพัทธ์อุทิศ 3,3,,,,,
620881097,2506087028,0,243188120,residential,True,,False,61.59687337127461,,,,,,,
620881530,485580841,0,706095304,residential,True,,False,80.566945633078,ถนนประชาธิปัตย์,,,,,,
