osmid,y,x,highway,street_count,junction,longitude,latitude
485546733,6.9958279,100.4307919,traffic_signals,4,,100.4307919,6.9958279
485580818,6.9963909,100.4307922,,3,,100.4307922,6.9963909
485580819,6.9961195,100.4313502,,3,,100.4313502,6.9961195
485580824,6.996412,100.4631218,traffic_signals,4,,100.4631218,6.996412
485580829,6.9978576,100.4711098,,3,,100.4711098,6.9978576
485580840,7.0039504,100.4678729,,3,,100.4678729,7.0039504
485580841,7.0056305,100.4676095,,3,,100.4676095,7.0056305
485580842,7.0059709,100.4705028,,4,,100.4705028,7.0059709
485580845,7.0075612,100.469684,,3,,100.469684,7.0075612
617233014,7.0059052,100.4699124,,4,,100.4699124,7.0059052
617234280,7.0042411,100.4700794,,4,,100.4700794,7.0042411
617234281,7.0043579,100.4715036,,4,,100.4715036,7.0043579
617234534,7.0024922,100.4679467,,3,,100.4679467,7.0024922
617234535,7.0028085,100.4703374,,4,,100.4703374,7.0028085
617234576,7.0043138,100.4707399,,4,,100.4707399,7.0043138
617234843,7.0060498,100.4712646,,3,,100.4712646,7.0060498
620881015,6.9980223,100.4738481,,3,,100.4738481,6.9980223
620881097,7.0089826,100.4701012,,3,,100.4701012,7.0089826
620881530,7.0057152,100.4683345,,4,,100.4683345,7.0057152
620881544,7.0027276,100.4696464,traffic_signals,4,,100.4696464,7.0027276
620881566,7.004177,100.4694581,traffic_signals,4,,100.4694581,7.004177
620881567,7.0058148,100.4691974,,4,,100.4691974,7.0058148
620881568,7.0074992,100.468897,,5,,100.468897,7.0074992
620882137,6.9960079,100.430775,traffic_signals,4,,100.430775,6.9960079
620882145,6.9986357,100.436266,,3,,100.436266,6.9986357
796719799,6.9981956,100.4845471,,4,,100.4845471,6.9981956
796719833,6.9981824,100.4758359,,3,,100.4758359,6.9981824
796719858,6.9966343,100.4749629,,3,,100.4749629,6.9966343
796719881,6.9993728,100.4894042,,3,,100.4894042,6.9993728
796719909,7.0013876,100.4907371,,4,,100.4907371,7.0013876
796719962,6.996611,100.475263,,3,,100.475263,6.996611
796720013,6.9988155,100.4889164,,7,,100.4889164,6.9988155
796720075,6.9983906,100.4794398,,4,,100.4794398,6.9983906
796747276,7.0193712,100.489695,,3,,100.489695,7.0193712
796747456,6.9948771,100.4731298,,4,,100.4731298,6.9948771
796747457,7.0402296,100.5032315,,3,,100.5032315,7.0402296
796747467,6.9959748,100.474307,,3,,100.474307,6.9959748
796747470,7.0243279,100.5000719,,4,,100.5000719,7.0243279
796747481,7.0197302,100.497509,,3,,100.497509,7.0197302
796747504,6.9982394,100.4794629,,3,,100.4794629,6.9982394
796747549,7.0368599,100.5023703,,3,,100.5023703,7.0368599
796747561,7.0348847,100.5021609,,3,,100.5021609,7.0348847
796747573,7.0196037,100.4940953,,3,,100.4940953,7.0196037
796747593,7.0186323,100.4827199,,3,,100.4827199,7.0186323
796747625,7.0358609,100.5022144,,3,,100.5022144,7.0358609
796747634,7.0065342,100.4807754,,3,,100.4807754,7.0065342
796747657,7.0335293,100.5020819,,3,,100.5020819,7.0335293
796747667,7.0302822,100.5021551,,4,,100.5021551,7.0302822
796747673,6.9949299,100.4753132,,4,,100.4753132,6.9949299
796747680,7.0394001,100.5030623,,3,,100.5030623,7.0394001
796747687,6.9956609,100.4743975,,3,,100.4743975,6.9956609
796747689,7.0199785,100.4979777,,3,,100.4979777,7.0199785
796747695,6.9941766,100.4731619,,3,,100.4731619,6.9941766
796747697,6.9987495,100.4887355,,3,,100.4887355,6.9987495
796747698,6.9958718,100.4748039,,3,,100.4748039,6.9958718
796747700,7.0196605,100.4955911,,3,,100.4955911,7.0196605
796747714,7.0042416,100.4803944,,3,,100.4803944,7.0042416
796747745,7.0185967,100.4823756,,3,,100.4823756,7.0185967
809537378,7.0179486,100.4796474,,4,,100.4796474,7.0179486
809537420,6.9981684,100.4838664,,3,,100.4838664,6.9981684
809537476,6.9988483,100.4887028,traffic_signals,3,,100.4887028,6.9988483
809537481,7.0186166,100.4825298,,3,,100.4825298,7.0186166
809537513,7.018629,100.484356,,3,,100.484356,7.018629
809537541,7.0193981,100.4917299,,3,,100.4917299,7.0193981
809537628,7.0191206,100.488491,,3,,100.488491,7.0191206
809537690,7.009014,100.4814405,,4,,100.4814405,7.009014
809537695,7.0196136,100.4972114,,3,,100.4972114,7.0196136
809537700,7.0140547,100.4950436,,3,,100.4950436,7.0140547
809537709,7.0184925,100.4825501,,4,,100.4825501,7.0184925
809537716,7.0162038,100.4824994,,3,,100.4824994,7.0162038
809537729,7.0192448,100.4976281,,3,,100.4976281,7.0192448
809537730,6.9983836,100.4795413,,4,,100.4795413,6.9983836
809537797,7.0180708,100.4795991,,3,,100.4795991,7.0180708
809537799,7.008504,100.4937332,,4,,100.4937332,7.008504
809537814,7.0195504,100.4955997,,3,,100.4955997,7.0195504
809537820,7.0089067,100.4814243,traffic_signals,4,,100.4814243,7.0089067
809537841,6.9990314,100.4890569,,3,,100.4890569,6.9990314
823954353,7.0139339,100.4930244,,3,,100.4930244,7.0139339
823954361,7.0133764,100.4852179,,3,,100.4852179,7.0133764
823954362,7.0138545,100.4860951,,3,,100.4860951,7.0138545
823954365,7.0139465,100.4879956,,3,,100.4879956,7.0139465
830901339,7.0059356,100.4928806,,3,,100.4928806,7.0059356
830901355,7.0055183,100.4940305,,3,,100.4940305,7.0055183
830901357,7.0054326,100.4941292,,3,,100.4941292,7.0054326
830901401,7.0056425,100.4937517,,3,,100.4937517,7.0056425
830901510,7.0078901,100.4953921,,2,,100.4953921,7.0078901
849403330,7.0170091,100.4863472,,3,,100.4863472,7.0170091
849403339,7.0190841,100.488251,,3,,100.488251,7.0190841
849403352,7.0054336,100.4846966,traffic_signals,4,,100.4846966,7.0054336
849403355,7.0139405,100.4878822,,3,,100.4878822,7.0139405
849403365,7.0161244,100.4881145,,3,,100.4881145,7.0161244
849403384,7.0051541,100.4805461,traffic_signals,4,,100.4805461,7.0051541
849403388,7.0166881,100.4878891,,3,,100.4878891,7.0166881
849403403,7.0106328,100.485311,,3,,100.485311,7.0106328
