osmid,y,x,highway,street_count,junction,longitude,latitude
485546733,6.9958279,100.4307919,traffic_signals,4,,100.4307919,6.9958279
485546740,6.9927059,100.4191272,,4,,100.4191272,6.9927059
485546745,6.9904886,100.4085857,,3,,100.4085857,6.9904886
485546747,6.9860719,100.3856916,,3,,100.3856916,6.9860719
485546759,6.9780011,100.3351665,,3,,100.3351665,6.9780011
485546761,6.9774029,100.3380425,,3,,100.3380425,6.9774029
485546769,6.9810048,100.3290076,,3,,100.3290076,6.9810048
485546776,7.01035,100.29652,,3,,100.29652,7.01035
485546777,7.0082871,100.2976774,,3,,100.2976774,7.0082871
485580818,6.9963909,100.4307922,,3,,100.4307922,6.9963909
485580819,6.9961195,100.4313502,,3,,100.4313502,6.9961195
485580824,6.996412,100.4631218,traffic_signals,4,,100.4631218,6.996412
485580829,6.9978576,100.4711098,,3,,100.4711098,6.9978576
485580840,7.0039444,100.4678219,,3,,100.4678219,7.0039444
485580841,7.0056245,100.4675585,,3,,100.4675585,7.0056245
485580842,7.0059709,100.4705028,,4,,100.4705028,7.0059709
485580845,7.0075612,100.469684,,3,,100.469684,7.0075612
485607775,6.9527365,100.4187526,,3,,100.4187526,6.9527365
485607781,7.0077883,100.4507266,,3,,100.4507266,7.0077883
485607783,7.0105326,100.4506388,,3,,100.4506388,7.0105326
579700429,6.9695655,100.4985631,,3,,100.4985631,6.9695655
579700445,6.9730724,100.4849451,,3,,100.4849451,6.9730724
579700482,6.9673711,100.5031818,,4,,100.5031818,6.9673711
617233014,7.0059052,100.4699124,,4,,100.4699124,7.0059052
617234280,7.0042411,100.4700794,,4,,100.4700794,7.0042411
617234281,7.0043579,100.4715036,,4,,100.4715036,7.0043579
617234534,7.0025078,100.4680068,,3,,100.4680068,7.0025078
617234535,7.0027999,100.4703133,,4,,100.4703133,7.0027999
617234576,7.0043138,100.4707399,,4,,100.4707399,7.0043138
617234843,7.0060498,100.4712646,,3,,100.4712646,7.0060498
620881015,6.9980223,100.4738481,,3,,100.4738481,6.9980223
620881097,7.0089826,100.4701012,,3,,100.4701012,7.0089826
620881522,7.0025895,100.4686981,,3,,100.4686981,7.0025895
620881529,7.0040355,100.468489,,3,,100.468489,7.0040355
620881530,7.0057152,100.4683345,,4,,100.4683345,7.0057152
620881544,7.0027234,100.4696338,traffic_signals,4,,100.4696338,7.0027234
620881566,7.004177,100.4694581,traffic_signals,4,,100.4694581,7.004177
