osmid,y,x,highway,street_count,junction,longitude,latitude,gridcode,flood_distance_deg,flood_level
485546733,6.9958279,100.4307919,traffic_signals,4,,100.4307919,6.9958279,1,0.0008747832044777845,1
485546740,6.9927059,100.4191272,,4,,100.4191272,6.9927059,1,0.0022775822095870294,1
485546745,6.9904886,100.4085857,,3,,100.4085857,6.9904886,1,0.012519520618971085,1
485546747,6.9860719,100.3856916,,3,,100.3856916,6.9860719,5,0.035650004280670125,5
485546759,6.9780011,100.3351665,,3,,100.3351665,6.9780011,5,0.08642585054679704,5
485546761,6.9774029,100.3380425,,3,,100.3380425,6.9774029,5,0.08378074593121608,5
485546769,6.9810048,100.3290076,,3,,100.3290076,6.9810048,5,0.09180923318474155,5
485546776,7.01035,100.29652,,3,,100.29652,7.01035,3,0.11763283049142392,3
485546777,7.0082871,100.2976774,,3,,100.2976774,7.0082871,3,0.11685751754163123,3
485580818,6.9963909,100.4307922,,3,,100.4307922,6.9963909,3,0.0008388256303882213,3
485580819,6.9961195,100.4313502,,3,,100.4313502,6.9961195,1,0.00042666437842800166,1
485580824,6.996412,100.4631218,traffic_signals,4,,100.4631218,6.996412,3,0.0021870679346316763,3
485580829,6.9978576,100.4711098,,3,,100.4711098,6.9978576,3,0.0011659909003621633,3
485580840,7.0039444,100.4678219,,3,,100.4678219,7.0039444,3,0.0007154405655713701,3
485580841,7.0056245,100.4675585,,3,,100.4675585,7.0056245,3,0.0008024820245880863,3
485580842,7.0059709,100.4705028,,4,,100.4705028,7.0059709,2,0.0021149225272899977,2
485580845,7.0075612,100.469684,,3,,100.469684,7.0075612,3,0.0021931314859356303,3
485607775,6.9527365,100.4187526,,3,,100.4187526,6.9527365,2,0.01229095360653631,2
485607781,7.0077883,100.4507266,,3,,100.4507266,7.0077883,3,0.0007378522612572733,3
485607783,7.0105326,100.4506388,,3,,100.4506388,7.0105326,4,0.0002505555152138371,4
579700429,6.9695655,100.4985631,,3,,100.4985631,6.9695655,1,0.004606899662599362,1
579700445,6.9730724,100.4849451,,3,,100.4849451,6.9730724,1,0.0019283813026041029,1
579700482,6.9673711,100.5031818,,4,,100.5031818,6.9673711,2,0.0043201230861549,2
617233014,7.0059052,100.4699124,,4,,100.4699124,7.0059052,3,0.0015807015708734628,3
617234280,7.0042411,100.4700794,,4,,100.4700794,7.0042411,2,0.001903858889875578,2
617234281,7.0043579,100.4715036,,4,,100.4715036,7.0043579,2,0.0019391273380582892,2
617234534,7.0025078,100.4680068,,3,,100.4680068,7.0025078,2,0.0008877660357218476,2
617234535,7.0027999,100.4703133,,4,,100.4703133,7.0027999,2,0.002050565796692478,2
617234576,7.0043138,100.4707399,,4,,100.4707399,7.0043138,2,0.0025024857058530536,2
617234843,7.0060498,100.4712646,,3,,100.4712646,7.0060498,2,0.001380846265139921,2
620881015,6.9980223,100.4738481,,3,,100.4738481,6.9980223,2,0.001264780802639123,2
620881097,7.0089826,100.4701012,,3,,100.4701012,7.0089826,2,0.0010651859413302878,2
620881522,7.0025895,100.4686981,,3,,100.4686981,7.0025895,2,0.0008284579024746358,2
620881529,7.0040355,100.468489,,3,,100.468489,7.0040355,2,0.0007192153438146789,2
620881530,7.0057152,100.4683345,,4,,100.4683345,7.0057152,3,0.00011813876406865046,3
620881544,7.0027234,100.4696338,traffic_signals,4,,100.4696338,7.0027234,2,0.0014363957263092482,2
620881566,7.004177,100.4694581,traffic_signals,4,,100.4694581,7.004177,2,0.0013937106068378205,2
620881567,7.0058148,100.4691974,,4,,100.4691974,7.0058148,3,0.0008642657302987164,3
620881568,7.0074992,100.468897,,5,,100.468897,7.0074992,3,0.001626260199519565,3
620882137,6.9960079,100.430775,traffic_signals,4,,100.430775,6.9960079,1,0.0009085936863666952,1
620882139,6.9928931,100.4192308,,3,,100.4192308,6.9928931,1,0.002064722477302709,1
620882145,6.9986357,100.436266,,3,,100.436266,6.9986357,4,0.001204304263186775,4
620882525,6.9912183,100.4125057,,3,,100.4125057,6.9912183,1,0.008596898552876061,1
713936639,6.9405879,100.4021242,,4,,100.4021242,6.9405879,1,0.028772737838908144,1
713936798,6.9757444,100.3581339,,3,,100.3581339,6.9757444,3,0.06476799851779808,3
713937154,6.9763425,100.3501671,,4,,100.3501671,6.9763425,5,0.0724191748791452,5
713937800,6.9754972,100.3679208,,4,,100.3679208,6.9754972,3,0.05525743803578331,3
713938115,6.9532798,100.393562,,3,,100.393562,6.9532798,1,0.03643424276062145,1
796719799,6.9981853,100.484502,,4,,100.484502,6.9981853,3,0.002669181042439536,3
796719833,6.9981824,100.4758359,,3,,100.4758359,6.9981824,3,0.0008443657218161433,3
796719834,7.0358955,100.496645,,3,,100.496645,7.0358955,1,0.00035566022172082333,1
796719858,6.9966343,100.4749629,,3,,100.4749629,6.9966343,3,0.0005401272824628533,3
796719881,6.9993728,100.4894042,,3,,100.4894042,6.9993728,3,0.004912016953708639,3
796719909,7.0013876,100.4907371,,4,,100.4907371,7.0013876,3,0.0036744122625745725,3
796719962,6.996611,100.475263,,3,,100.475263,6.996611,3,0.0007695772298376361,3
796720003,7.0678873,100.5384301,,3,,100.5384301,7.0678873,2,0.005668571528699153,2
796720013,6.9988155,100.4889164,,7,,100.4889164,6.9988155,1,0.004844310171366674,1
796720075,6.9983879,100.4794397,,4,,100.4794397,6.9983879,4,0.00045350143540921425,4
796720095,7.0355124,100.4982919,,3,,100.4982919,7.0355124,1,0.001784986159686255,1
796747276,7.0193712,100.489695,,3,,100.489695,7.0193712,4,0.0003672312863535025,4
796747286,7.0728405,100.5459628,,3,,100.5459628,7.0728405,1,0.011222671941847496,1
796747456,6.9948771,100.4731298,,4,,100.4731298,6.9948771,2,0.00035738597115717475,2
796747457,7.0402296,100.5032315,,3,,100.5032315,7.0402296,1,0.005451330458695957,1
796747460,7.063021,100.5263268,,3,,100.5263268,7.063021,4,0.00877830348796637,4
796747467,6.9959748,100.474307,,3,,100.474307,6.9959748,3,0.000390012020984232,3
796747470,7.0243279,100.5000719,,4,,100.5000719,7.0243279,5,0.002980100642649356,5
796747481,7.0197302,100.497509,,3,,100.497509,7.0197302,5,0.0025608127137710227,5
796747484,7.0566764,100.511562,,3,,100.511562,7.0566764,3,0.004220313680676194,3
796747486,7.0757014,100.5489887,,3,,100.5489887,7.0757014,1,0.010682320362740977,1
796747504,6.9982394,100.4794629,,3,,100.4794629,6.9982394,3,0.0005452517397583882,3
796747514,7.0487374,100.5046144,,3,,100.5046144,7.0487374,1,0.007308896216940098,1
796747549,7.0368599,100.5023703,,3,,100.5023703,7.0368599,1,0.005736096736769032,1
796747561,7.0348847,100.5021609,,3,,100.5021609,7.0348847,1,0.004228108597976079,1
796747573,7.0196037,100.4940953,,3,,100.4940953,7.0196037,5,0.0005256289049902301,5
796747593,7.0186323,100.4827199,,3,,100.4827199,7.0186323,2,0.0006824084646130953,2
796747625,7.0358609,100.5022144,,3,,100.5022144,7.0358609,1,0.005114622182799222,1
796747634,7.0065342,100.4807754,,3,,100.4807754,7.0065342,3,0.0007866339729643718,3
796747657,7.0335293,100.5020819,,3,,100.5020819,7.0335293,1,0.0030866227433646062,1
796747667,7.0302822,100.5021551,,4,,100.5021551,7.0302822,1,0.002362638714245595,1
796747673,6.9949299,100.4753132,,4,,100.4753132,6.9949299,1,0.0008249970172842245,1
796747680,7.0394001,100.5030623,,3,,100.5030623,7.0394001,1,0.005836630534322479,1
796747687,6.9956609,100.4743975,,3,,100.4743975,6.9956609,3,0.0006177404636374899,3
796747689,7.0199785,100.4979777,,3,,100.4979777,7.0199785,5,0.002729141879737473,5
796747695,6.9941766,100.4731619,,3,,100.4731619,6.9941766,2,0.00044138532687359425,2
796747697,6.9987495,100.4887355,,3,,100.4887355,6.9987495,1,0.004739601477091547,1
796747698,6.9958718,100.4748039,,3,,100.4748039,6.9958718,3,0.00043784064700074714,3
796747700,7.0196605,100.4955911,,3,,100.4955911,7.0196605,5,0.0018721406089874989,5
796747714,7.0042416,100.4803944,,3,,100.4803944,7.0042416,4,0.0004014556984906146,4
796747741,7.068264,100.5388949,,3,,100.5388949,7.068264,2,0.006179702671896734,2
796747745,7.0185967,100.4823756,,3,,100.4823756,7.0185967,2,0.0009932847909795213,2
796747747,7.0479141,100.5043777,,3,,100.5043777,7.0479141,1,0.006710167895326694,1
796747759,7.0727706,100.5460336,,4,,100.5460336,7.0727706,1,0.011127173708757904,1
798837126,7.0037116,100.533444,,3,,100.533444,7.0037116,1,0.038112937885093706,1
798837186,7.0032861,100.5322561,,3,,100.5322561,7.0032861,1,0.037153865160300344,1
798837249,7.0005699,100.5225681,,3,,100.5225681,7.0005699,5,0.03089074574020823,5
798837268,7.00148,100.501788,,3,,100.501788,7.00148,3,0.013720285713776927,3
798837414,7.0021106,100.5273352,,3,,100.5273352,7.0021106,1,0.033936377383698306,1
798837511,7.0025103,100.5295115,,3,,100.5295115,7.0025103,1,0.0351979283280656,1
798837541,7.0003718,100.501072,,3,,100.501072,7.0003718,3,0.013291901572934214,3
798837594,7.0002432,100.5195745,,3,,100.5195745,7.0002432,5,0.02936598374569345,5
798837636,6.9997607,100.5166314,,3,,100.5166314,6.9997607,5,0.026666296450078113,5
798837639,7.0056093,100.5373626,,3,,100.5373626,7.0056093,1,0.03989304290163232,1
